CLONE,YEAR,STAGE,LOC,CROP,REP,T_SPACRE,TRS_TON,TCA,POPN,MSTWT,FIBER,,,
L01-299,2021,4,BLK,1,1,7877.49,248,31.76,12.31,1.34,12.04820199,,,
HOCP17-501,2021,3,AFH,0,1,7306.45,283.12,25.81,.,1.75,12.04820261,,,
HO12-615,2021,5,STJOHN,0,1,10502.83,295,35.6,.,1.95,12.04823257,,,
HO12-615,2020,5,MARY,2,1,9933.2,289.21,34.35,.,1.52,12.04826667,,,
HOCP96-540,2021,3,NEW,2,1,7735.47,250.91,30.83,9.7,2.24,12.04892966,,,
L11-183,2020,5,STJOHN,1,3,9703.55,270.78,35.84,.,2.77,12.04937122,,,
L01-283,2021,5,MARY,3,1,7450.29,273.94,27.2,.,1.33,12.0495283,,,
L11-183,2020,5,MARY,0,3,10010.53,277.22,36.11,.,3.24,12.04975663,,,
HO13-739,2021,5,ALLAINS,1,3,5375.83,290.71,18.49,.,1.66,12.04975663,,,
HOCP96-540,2020,4,BLK,0,2,12327.01,283.23,43.52,13.06,2.42,12.04993298,,,
L01-299,2021,5,HARPER,2,2,7129.06,235.78,30.24,.,2.04,12.05002033,,,
L15-306,2020,5,ALMA,0,3,8203.19,228.55,35.89,.,2.97,12.05037406,,,
L12-201,2021,3,NIB,0,2,5902.04,282.77,20.87,13.09,2,12.05138568,,,
HOCP04-838,2020,3,SGL,2,1,9332.57,282.52,33.03,14.44,1.82,12.0758483,,,
L18-441,2020,3,WES,0,1,13466.3,277.6,48.51,10.17,2.27,12.08293371,,,
HOCP19-938,2021,3,WES,0,1,10511.45,291.64,36.04,10.37,1.67,12.08307692,,,
HO17-724,2020,3,STG,2,2,12066.5,292.79,41.21,.,1.73,12.08318539,,,
L11-183,2020,5,STJOHN,2,2,7012.04,276.53,25.36,.,1.85,12.08421517,,,
L01-283,2020,3,MEL,2,2,7779.65,297.33,26.17,12.03,1.06,12.08525799,,,
L11-183,2020,3,SGL,1,2,11048.63,289.67,38.14,12.17,1.87,12.08582421,,,
HOCP04-838,2020,5,BRUNSWICK,1,1,3736.01,299.8,12.46,.,1.91,12.11599626,,,
HOCP14-885,2021,5,MARY,0,1,4763.5,234.72,20.3,.,2.01,12.11771772,,,
HOL15-508,2021,5,BRUNSWICK,1,2,8865.64,314.69,28.17,.,2.27,12.11914063,,,
HOCP09-804,2020,3,WES,0,2,10170.47,301.51,33.73,13.31,1.77,12.11923688,,,
L19-486,2021,3,AFL,1,2,3477.71,269.97,12.88,12.74,1.67,12.11940299,,,
L19-006,2021,4,CAF,0,1,9692.8,274.97,35.25,11.3,2.2,12.11951589,,,
HOCP04-838,2020,3,AFH,2,2,9956.76,267.34,37.24,.,1.71,12.12020033,,,
HOCP09-804,2020,3,AFL,1,2,15723.41,294.14,53.46,.,1.98,12.12031425,,,
HO12-615,2021,5,ALLAINS,0,1,8153.82,265.81,30.68,.,1.59,12.1206409,,,
HOCP09-804,2021,3,SGL,3,1,6038.97,298.14,20.26,.,0.96,12.12065498,,,
HOL15-508,2020,4,CAF,2,2,9649.73,254.89,37.86,10.24,1.71,12.12072269,,,
HOL15-508,2020,5,DOMINGUE,1,3,9470.85,282.83,33.49,.,1.49,12.12081985,,,
HOL15-508,2020,5,LANDRY,0,2,13203.01,313.34,42.14,.,2.47,12.12082445,,,
HO18-878,2021,3,MEL,1,1,11535.34,293.93,39.25,12.77,1.4,12.12098873,,,
HOCP17-529,2021,3,AFH,0,2,7481.35,259.82,28.8,.,1.67,12.12126538,,,
HOCP09-804,2020,3,MEL,3,1,10161.19,308.29,32.96,16.03,1.14,12.12129436,,,
L01-299,2020,3,SGL,2,1,8420.05,264.58,31.82,14.69,1.69,12.12133891,,,
L20-057,2021,3,NIB,0,1,6459.64,262.7,24.59,13.62,2.05,12.12147177,,,
L12-201,2020,5,GLENWOOD,4,2,8026.32,259.92,30.88,.,1.81,12.12149201,,,
HOCP14-885,2020,4,BLK,3,2,15113.59,319.69,47.28,10.32,1.9,12.12180268,,,
HOCP96-540,2021,5,DOMINGUE,2,3,4549.81,285.16,15.96,.,2.22,12.12182741,,,
L11-183,2021,5,ALMA,2,1,5576.94,216.02,25.82,.,1.97,12.12216566,,,
HOCP04-838,2020,3,MEL,2,2,6387.51,287.29,22.23,13.68,1,12.12223738,,,
HOCP17-507,2021,3,AFH,0,1,9236.45,271.23,34.05,.,1.9,12.12242137,,,
HO13-739,2020,5,LANAUX,0,3,10845.17,290.25,37.37,.,2.66,12.12257229,,,
L12-201,2020,5,BRUNSWICK,3,1,4410.52,190.34,23.17,.,1.65,12.12257229,,,
L01-299,2021,5,STJOHN,1,1,9768.39,292.09,33.44,.,1.84,12.1227485,,,
L11-183,2020,5,LANAUX,3,3,8349.44,288.49,28.94,.,1.48,12.1227907,,,
HOCP09-804,2021,5,BRUNSWICK,0,1,9881.09,267.66,36.92,.,2.08,12.12299283,,,
HO05-961,2021,5,LANAUX,1,2,6572.05,307.49,21.37,.,1.81,12.12320329,,,
HOCP09-804,2020,5,HARPER,3,2,7554.57,244.35,30.92,.,1.94,12.12324078,,,
L14-267,2021,5,MAGNOLIA,2,1,1837.76,280.45,6.55,.,1.09,12.12614446,,,
HOCP19-963,2021,3,NEW,0,1,16505.42,286.14,57.68,12.15,2.12,12.15673141,,,
HOL15-508,2020,4,BLK,2,2,15472.53,287.67,53.79,10.56,1.7,12.15822907,,,
HOCP19-959,2020,3,STG,0,1,8378.91,299.97,27.93,.,1.71,12.15854112,,,
L17-410,2020,3,WES,1,2,9473.49,268.27,35.31,10.04,1.79,12.159496,,,
L01-299,2021,3,SGL,1,1,4720.6,300.25,15.72,.,1.98,12.16003063,,,
HOCP96-540,2021,5,MAGNOLIA,2,1,2021.84,219.34,9.22,.,1.48,12.18873518,,,
HOCP17-701,2021,4,CAF,1,1,10395.68,306.86,33.88,11.07,2.09,12.19300226,,,
HOCP19-900,2021,3,SGL,1,2,8735.23,301.98,28.93,.,1.7,12.19312075,,,
L01-299,2021,3,MEL,2,2,7330.05,264.87,27.67,13.71,1.43,12.19321395,,,
HOCP09-804,2020,5,BRUNSWICK,1,1,4078.41,291.56,13.99,.,1.29,12.19347582,,,
HO05-961,2021,5,MARY,0,3,5136.16,288.92,17.78,.,1.64,12.19347582,,,
HOCP17-701,2020,3,NEW,1,2,12400.58,333.13,37.23,10.88,1.82,12.19351962,,,
HOCP09-804,2020,5,LANDRY,1,3,8475.35,230.2,36.82,.,1.73,12.19375179,,,
HO12-615,2020,5,LANDRY,1,2,8454.43,215.89,39.16,.,1.49,12.19377323,,,
HO12-615,2021,5,LANDRY,2,3,9632.15,318.3,30.26,.,1.13,12.19380551,,,
HOCP14-885,2020,5,GLENWOOD,2,1,17018.65,330.73,51.46,.,2.32,12.19384108,,,
L01-299,2020,4,AFH,1,2,9889.66,255.82,38.66,12.16,1.94,12.19400245,,,
HO17-724,2020,3,AFH,2,1,12710.89,273.03,46.56,.,1.8,12.194248,,,
HOCP09-804,2020,3,NEW,2,2,14393.2,282.31,50.98,12.32,1.54,12.1944186,,,
HO12-615,2021,5,GLENWOOD,0,1,5961.82,273.21,21.82,.,2.39,12.19477912,,,
HOCP04-838,2020,4,CAF,1,1,19081.6,257.23,74.18,13.72,2.06,12.19491228,,,
HOCP14-885,2021,5,LANDRY,2,2,8252.83,309.23,26.69,.,1.54,12.19493315,,,
HO12-615,2021,3,SGL,0,1,15466.39,297.95,51.91,13.07,1.76,12.19516229,,,
L11-183,2021,5,RHEBERT,3,2,4923,231.04,21.31,.,2.58,12.19526627,,,
HOCP96-540,2021,3,WES,2,1,7978.65,225.52,35.38,11.17,1.7,12.19544259,,,
L14-267,2021,5,HARPER,2,3,8449.04,252.11,33.51,.,2.09,12.1955116,,,
L18-438,2020,3,SGL,1,1,13122.02,311.55,42.12,11.92,1.74,12.19567948,,,
HOCP04-838,2020,4,BLK,2,2,8332.33,230.67,36.12,14.78,1.54,12.19604784,,,
HO12-615,2020,5,ALMA,2,2,6566.73,209,31.42,.,1.71,12.19621514,,,
L01-299,2020,5,RHEBERT,2,1,10655.91,283.74,37.56,.,2.33,12.19674612,,,
L11-183,2020,5,MARY,3,3,8423.54,275.16,30.61,.,2.37,12.19688385,,,
HO16-600,2020,5,DOMINGUE,0,2,9215.56,318.01,28.98,.,2.61,12.19725275,,,
L12-201,2021,4,AFH,0,1,6161.32,271.68,22.68,10.64,2.87,12.1976834,,,
L19-006,2021,3,WES,0,1,11249.58,282.44,39.83,10.97,1.66,12.23283125,,,
HOCP09-804,2020,3,NEW,1,2,13171.44,294.1,44.79,14.86,1.65,12.23320602,,,
HOCP96-540,2021,5,HARPER,3,3,2327.75,163.29,14.26,.,2.73,12.26321974,,,
L01-299,2020,5,BRUNSWICK,2,3,3524.7,164.85,21.38,.,1.34,12.26720492,,,
HOCP09-804,2021,5,BRUNSWICK,1,3,7490.44,301.88,24.81,.,1.43,12.26768034,,,
HOCP04-838,2020,5,HARPER,2,2,6431.13,227.45,28.28,.,1.63,12.26768034,,,
HOCP09-804,2020,3,NEW,0,1,7759.3,272.73,28.45,12.63,1.65,12.2678762,,,
L20-032,2021,3,NIB,0,2,8723.18,276.64,31.53,14.42,1.81,12.2679073,,,
L12-201,2021,5,ALLAINS,0,3,7898.83,286.02,27.62,.,2.31,12.26796715,,,
HO18-878,2021,4,AFH,0,2,8060.64,290.57,27.74,10.99,1.32,12.26810748,,,
HOCP09-804,2020,5,ALMA,1,1,7176.07,187.5,38.27,.,1.86,12.2681181,,,
L19-021,2021,3,SGL,1,2,8266.05,307.62,26.87,11.9,1.65,12.26811866,,,
HOCP09-804,2021,5,RHEBERT,1,2,10844.48,302.12,35.9,.,1.48,12.26860759,,,
HO12-615,2021,5,LANDRY,1,2,8479.52,288.91,29.35,.,1.42,12.26878527,,,
HO12-615,2021,4,BLK,1,1,7112.72,278.35,25.55,13.23,1.29,12.26920694,,,
HO16-608,2020,5,ALMA,0,2,7729.39,199.67,38.71,.,2.4,12.26930392,,,
L20-052,2021,3,NIB,0,2,7020.16,276.46,25.39,12.95,2.04,12.26941986,,,
HO12-615,2021,5,HARPER,2,2,8674.28,249.12,34.82,.,1.69,12.26950566,,,
HOCP09-804,2020,5,RHEBERT,1,1,8406.9,267.14,31.47,.,1.89,12.2697126,,,
HO18-878,2020,3,AFL,1,2,14706.26,304.04,48.37,.,1.64,12.26979167,,,
L14-267,2021,5,LANAUX,3,2,6861.56,312.21,21.98,.,1.44,12.26980298,,,
L01-283,2020,5,GLENWOOD,3,2,8216.19,271.97,30.21,.,1.45,12.27039764,,,
HOCP96-540,2021,5,DOMINGUE,1,1,4345.94,251.29,17.3,.,2.44,12.27059844,,,
HOCP14-885,2020,5,HARPER,1,3,12927.78,305.84,42.27,.,1.94,12.27062799,,,
HOCP09-804,2020,3,AFH,3,1,9743.01,284.63,34.23,.,1.64,12.2707231,,,
HOL15-508,2021,5,ALMA,1,3,6028.53,249.85,24.13,.,1.52,12.27107502,,,
L01-299,2020,5,MARY,3,1,6880.96,274.8,25.04,.,1.73,12.2713014,,,
HO12-615,2021,5,LANDRY,1,1,6449.26,273.46,23.58,.,1.1,12.27132227,,,
L11-183,2021,5,RHEBERT,3,1,4687.99,251.92,18.61,.,2.07,12.27235495,,,
L11-183,2021,5,MAGNOLIA,2,1,2506.88,212.08,11.82,.,1.65,12.27249357,,,
HOCP04-838,2020,3,WES,3,1,12242.1,268.09,45.66,13.92,1.81,12.30658537,,,
HOCP19-963,2021,3,NEW,0,2,19849.84,291.93,67.99,9.99,2.08,12.30740252,,,
L20-029,2021,3,SGL,0,1,7172.04,268.08,26.75,14.75,1.76,12.34307755,,,
HO12-615,2020,5,LANAUX,0,1,11470.36,284.27,40.35,.,2.18,12.34356237,,,
HOCP04-838,2020,5,ALMA,2,2,6470.49,215.86,29.98,.,1.62,12.34356237,,,
HOCP19-932,2021,3,NIB,1,1,8678.7,293.47,29.57,.,1.65,12.34366391,,,
HOCP96-540,2021,3,MEL,1,2,5898.94,262.32,22.49,11.05,1.48,12.3437247,,,
HOCP17-701,2020,3,MEL,1,2,10011.75,317.69,31.51,11.73,1.94,12.34384498,,,
HOCP14-885,2021,5,DOMINGUE,2,1,9442.13,323.86,29.16,.,2.23,12.34419263,,,
L11-183,2021,3,AFH,2,2,9246.09,249.41,37.07,.,1.72,12.34421535,,,
HOCP09-804,2020,5,RHEBERT,3,2,8732.57,260.32,33.55,.,1.7,12.34428795,,,
HOCP18-803,2020,3,NEW,0,2,15415.75,279.76,55.1,12.72,2.2,12.34450468,,,
L11-183,2021,5,STJOHN,2,1,5091.39,202.58,25.13,.,2.06,12.34463563,,,
HOCP09-804,2020,4,CAF,1,1,10437.31,255.26,40.89,12.84,1.87,12.34464235,,,
HOCP17-547,2021,3,SGL,0,1,13552.25,304.04,44.57,.,1.77,12.34470906,,,
HOCP17-510,2021,3,AFL,0,1,6986.49,235.25,29.7,.,1.87,12.34473377,,,
L01-299,2021,5,MARY,3,3,6221.86,277.65,22.41,.,0.96,12.34550265,,,
HOCP18-829,2021,3,NEW,1,2,10499.37,276.04,38.04,11.75,1.69,12.3455842,,,
HOCP96-540,2021,5,BRUNSWICK,0,2,12345.12,294.17,41.97,.,4.87,12.34576758,,,
HOCP04-838,2020,5,STJOHN,1,2,11048.81,292.87,37.73,.,1.93,12.34629981,,,
HOCP04-838,2020,4,CAF,2,2,7913.69,277.68,28.5,12.92,1.32,12.34630796,,,
L14-267,2021,5,LANDRY,1,1,6180.61,282.06,21.91,.,1.71,12.34650602,,,
HOCP14-885,2021,5,DOMINGUE,2,3,8310,327.86,25.35,.,2.31,12.34665166,,,
HOCP09-804,2021,5,HARPER,2,3,10074.51,259.55,38.82,.,1.77,12.34684685,,,
L01-283,2020,3,STG,3,1,7126.36,312.55,22.8,.,1.34,12.34687954,,,
HOCP18-815,2021,3,NIB,2,1,9803.57,288.15,34.02,.,1.63,12.34693878,,,
HOCP18-803,2021,3,MEL,1,1,10802.58,304.77,35.45,12.82,1.66,12.38334779,,,
HOCP09-804,2020,3,WES,0,1,10539,304.7,34.59,14.06,1.62,12.38334779,,,
HOCP96-540,2021,3,NIB,2,1,7851.81,274.04,28.65,.,1.73,12.41994751,,,
L11-183,2020,5,RHEBERT,0,2,10245.06,253.99,40.34,.,3.13,12.42072289,,,
HO12-615,2020,5,HARPER,3,3,7409.21,219.33,33.78,.,1.53,12.42100817,,,
HO12-615,2020,5,MAGNOLIA,0,2,10546.42,258.14,40.86,.,2.46,12.421092,,,
L11-183,2020,5,MARY,0,1,13475.86,314.11,42.9,.,2.67,12.42111369,,,
L15-306,2020,5,STJOHN,1,2,11793.87,268.6,43.91,.,2.22,12.42111879,,,
HOCP17-510,2021,3,AFH,0,2,8556.12,275.38,31.07,.,1.65,12.42117414,,,
HOCP18-829,2021,3,WES,1,1,10339.76,207.54,49.82,11.51,1.53,12.4215144,,,
L14-267,2020,5,LANDRY,2,2,9070.19,233.1,38.91,.,2.11,12.4216908,,,
HO12-615,2021,3,AFH,0,1,7349.34,285.66,25.73,.,1.62,12.42197888,,,
L17-428,2020,4,BLK,1,2,12787.75,268.02,47.71,11.38,2.86,12.42234637,,,
L01-299,2021,4,AFH,0,2,8832.05,243.46,36.28,12.06,1.78,12.42243219,,,
HOCP04-838,2020,3,MEL,3,2,13712.4,297.33,46.12,13.94,1.65,12.42263228,,,
L14-267,2020,5,MAGNOLIA,0,1,9531.52,286.91,33.22,.,2.56,12.42269028,,,
L11-183,2020,5,ALMA,1,3,6376.82,223.22,28.57,.,1.66,12.42310469,,,
L12-201,2020,4,BLK,0,2,15137.32,297.56,50.87,10.48,3.22,12.4231223,,,
L01-299,2020,5,HARPER,0,2,12825.06,261.29,49.08,.,2.45,12.4233871,,,
L14-267,2020,5,MARY,0,1,11200.73,296.52,37.77,.,3.1,12.42427333,,,
HOCP14-885,2020,5,GLENWOOD,2,2,12329.49,311.72,39.55,.,2.87,12.42470694,,,
HO12-615,2021,5,BRUNSWICK,3,1,2321.28,213.28,10.88,.,1.35,12.42658423,,,
HOCP19-960,2021,3,WES,0,1,8898.48,284.71,31.25,12.22,1.79,12.45906328,,,
L01-299,2020,3,NEW,3,2,10771.68,288.52,37.34,12.84,1.7,12.46042553,,,
HOCP04-838,2020,5,ALLAINS,3,1,7869.93,275.76,28.54,.,2.06,12.49706811,,,
HOCP19-938,2021,3,NEW,0,2,21619.05,308.45,70.09,12.11,2.82,12.49836642,,,
HOCP09-804,2021,5,STJOHN,1,2,10127.85,290.3,34.89,.,1.43,12.49859011,,,
L01-299,2021,5,HARPER,2,1,7590.47,239.53,31.69,.,1.66,12.49869024,,,
HOCP17-535,2021,3,SGL,0,1,11842.05,302.31,39.17,.,1.94,12.49891674,,,
L01-283,2020,3,AFH,3,2,9521.64,281.01,33.88,.,1.45,12.49933066,,,
HO12-615,2021,3,WES,1,2,7337.5,232.67,31.54,13.24,1.25,12.49938011,,,
HO16-608,2020,3,STG,3,1,9238.68,304.73,30.32,.,1.61,12.49950216,,,
HOCP09-804,2020,5,LANAUX,0,1,12879.54,300.45,42.87,.,1.55,12.49977355,,,
HOCP09-804,2021,5,GLENWOOD,0,2,7742.88,298.04,25.98,.,1.54,12.49981475,,,
HOCP96-540,2020,4,CAF,1,2,12205.84,270.15,45.18,11.46,2.47,12.5,,,
L11-183,2020,5,ALLAINS,3,2,7815.19,284.86,27.44,.,1.67,12.5,,,
L01-299,2021,5,LANAUX,1,2,6077.77,299.98,20.26,.,1.39,12.5,,,
HO13-739,2021,5,LANAUX,3,1,6220.38,291.54,21.34,.,1.68,12.5,,,
L19-007,2020,3,SGL,0,1,10902.21,256.22,42.55,13.1,1.71,12.50012522,,,
L01-283,2020,5,MARY,2,1,9292.25,257.77,36.05,.,2.02,12.50017513,,,
HOCP09-804,2020,5,ALLAINS,3,1,7225.19,307.03,23.53,.,1.92,12.50025497,,,
HOCP17-702,2020,4,BLK,0,1,13200.93,308,42.86,11.17,1.9,12.50041586,,,
HOCP96-540,2021,3,SGL,0,2,11887.88,279.17,42.58,11.03,1.94,12.50042602,,,
L11-183,2020,4,BLK,1,2,12877.07,268.21,48.01,11.79,1.82,12.50082997,,,
HOCP09-804,2021,5,STJOHN,1,1,9893.7,299.76,33.01,.,1.8,12.50085237,,,
HOCP09-804,2020,3,AFL,2,1,10711.4,297.2,36.04,13.42,1.69,12.50087925,,,
HO18-878,2021,3,MEL,1,2,10724.85,293.37,36.56,12.38,1.87,12.50127551,,,
L18-438,2020,3,SGL,1,2,9113.65,310.93,29.31,12.22,1.6,12.50136054,,,
HO13-739,2021,5,RHEBERT,1,3,9760.38,294.17,33.18,.,2.41,12.50181653,,,
HOCP04-838,2021,5,BRUNSWICK,2,1,5257.88,249.05,21.11,.,1.39,12.50185261,,,
L01-283,2020,3,SGL,2,1,9708.24,313.52,30.97,13.03,1.69,12.53974753,,,
L18-438,2020,3,WES,0,2,10507.37,312.39,33.64,10.64,1.64,12.54020177,,,
L19-021,2021,3,SGL,1,1,8321.03,312.52,26.63,11.44,1.63,12.54126679,,,
L01-299,2020,3,NEW,1,2,11870.33,285.42,41.59,12.19,1.71,12.54629868,,,
HOCP04-838,2021,3,NEW,2,2,9142.09,280.92,32.54,14.24,1.65,12.54900095,,,
HOCP19-960,2021,3,SGL,1,1,9592.48,296.92,32.31,.,1.6,12.57676736,,,
HOCP19-956,2021,3,SGL,1,2,8064.21,306.84,26.28,.,1.81,12.57687311,,,
L01-299,2021,5,GLENWOOD,3,1,8988.09,316.8,28.37,.,1.47,12.57692308,,,
HO17-738,2021,3,NEW,2,2,11844.23,291.9,40.58,10.96,1.62,12.57695205,,,
HOCP17-557,2021,3,SGL,0,1,10504.05,273.54,38.4,.,1.86,12.57721596,,,
L01-299,2020,5,RHEBERT,2,2,13071.56,272.94,47.89,.,1.75,12.5772339,,,
L11-183,2021,5,HARPER,1,2,14181.97,284.4,49.87,.,2.71,12.57723855,,,
HOCP14-885,2020,5,BRUNSWICK,0,3,12026.11,303.14,39.67,.,2.79,12.57724657,,,
HOL15-508,2020,5,BRUNSWICK,0,1,8965.28,323.5,27.71,.,2.65,12.57726999,,,
L15-306,2020,3,NEW,3,2,12570.28,314.31,39.99,10.41,1.7,12.57729211,,,
HO12-615,2020,5,RHEBERT,3,1,10578.87,261.84,40.4,.,1.86,12.57751376,,,
HOCP04-838,2020,5,LANDRY,2,1,6926.85,225.56,30.71,.,1.71,12.57758319,,,
HOCP04-838,2020,5,HARPER,1,1,12456.37,276.8,45,.,2.57,12.57758621,,,
L01-299,2020,3,WES,1,1,10256.74,218.66,46.91,12.18,1.82,12.57833089,,,
HOCP17-710,2020,4,CAF,0,1,10515.73,280.17,37.53,11.66,2.71,12.57856494,,,
HOCP04-838,2020,4,BLK,2,1,11265.84,253.69,44.41,13.93,1.78,12.5795053,,,
L12-201,2020,5,RHEBERT,3,2,8897.82,268.06,33.19,.,2.46,12.57995338,,,
HO13-739,2021,5,RHEBERT,3,1,5786.92,269.76,21.45,.,1.59,12.57995338,,,
L20-032,2021,3,AFL,0,2,10333.02,291.65,35.43,11.67,1.8,12.57998725,,,
L12-201,2020,5,STJOHN,0,2,8824.97,274.26,32.18,.,2.88,12.58051802,,,
HO17-738,2021,5,GLENWOOD,0,3,6653,248.31,26.79,.,1.91,12.58071749,,,
L18-438,2020,4,CAF,0,1,9828.9,270.59,36.32,10.89,2.35,12.58078958,,,
HOCP09-804,2021,5,RHEBERT,3,1,6622.24,269.48,24.57,.,1.59,12.58078958,,,
HOCP04-838,2021,5,BRUNSWICK,3,3,2171.79,207.33,10.48,.,1.41,12.58220339,,,
HOCP19-932,2021,3,MEL,0,2,8172.1,312.57,26.15,11.09,1.68,12.61843169,,,
HOCP17-701,2020,3,MEL,1,1,8685.12,333.35,26.05,11.09,1.6,12.61877173,,,
HO16-608,2020,3,NEW,2,2,10555.03,272.06,38.8,11.96,1.67,12.61922868,,,
L20-055,2021,3,AFL,0,1,13480.34,256.41,52.57,12.72,2.02,12.61934704,,,
HOCP17-701,2021,5,HARPER,0,3,5176.45,304.56,17,.,2.89,12.65297297,,,
L11-183,2020,5,GLENWOOD,2,2,11288.42,323.96,34.85,.,2.28,12.65590062,,,
HOCP04-838,2021,3,MEL,2,1,3796.11,259.37,14.64,14.1,1.44,12.65628892,,,
HOCP18-803,2021,3,MEL,1,2,10955.64,313.47,34.95,13.08,1.66,12.65644725,,,
HO18-878,2021,3,AFH,2,1,11595.08,291.25,39.81,.,1.64,12.65667362,,,
HOCP17-513,2021,3,SGL,0,2,10548.16,309.13,34.12,.,1.6,12.65667656,,,
HOCP09-804,2020,3,STG,2,2,12906.11,304.27,42.42,.,1.64,12.65671642,,,
L15-306,2020,5,BRUNSWICK,0,2,8762.29,305.78,28.66,.,2.47,12.6568467,,,
L12-201,2021,5,BRUNSWICK,1,2,6445.08,307.39,20.97,.,1.88,12.65720772,,,
L11-183,2020,5,RHEBERT,1,1,12094.13,270.54,44.7,.,2.52,12.65738758,,,
HOCP17-557,2021,3,AFH,0,2,6257.01,251.73,24.86,.,1.66,12.65765004,,,
L01-283,2020,5,GLENWOOD,2,2,11307.82,306.9,36.85,.,1.83,12.65765483,,,
L12-201,2021,5,MAGNOLIA,1,3,3699.88,214.88,17.22,.,2.17,12.6578737,,,
L15-306,2021,5,ALLAINS,0,2,6510.05,291.88,22.3,.,1.59,12.65794224,,,
HO12-615,2020,3,WES,0,1,13789.7,258.37,53.37,12.04,1.89,12.65854204,,,
HOCP18-815,2021,3,NIB,2,2,9797.69,311.58,31.45,.,1.65,12.65858519,,,
HO16-600,2020,5,STJOHN,0,3,11062.02,274.03,40.37,.,3.74,12.65865103,,,
HOCP09-804,2020,3,WES,1,1,10946.96,235.67,46.45,10.64,1.77,12.65873016,,,
L15-306,2021,5,DOMINGUE,1,1,9736.54,298.07,32.67,.,2.1,12.65893366,,,
HO17-738,2020,3,STG,2,1,7379.91,319.66,23.09,.,1.59,12.65911072,,,
L14-267,2021,5,ALMA,1,3,3528.71,254.58,13.86,.,1.34,12.65911873,,,
HOL15-508,2021,5,HARPER,1,1,13962.36,319.7,43.67,.,1.89,12.65917192,,,
L01-299,2021,3,NEW,2,2,10712.2,263.9,40.59,12.66,1.78,12.65928591,,,
HOCP96-540,2020,5,MARY,3,3,7100.45,239.79,29.61,.,1.84,12.65971676,,,
HOCP04-838,2021,5,RHEBERT,2,3,7283.87,255.84,28.47,.,1.82,12.66005666,,,
L19-013,2020,3,AFL,0,2,3958.87,250.35,15.81,10.89,3.49,12.66218236,,,
L11-183,2021,5,MAGNOLIA,1,2,2612.57,199.47,13.1,.,2.15,12.73557188,,,
HO05-961,2020,5,DOMINGUE,0,3,4626.01,247.69,18.68,.,1.81,12.73580247,,,
HOL15-508,2021,5,ALMA,1,2,6786.66,273.77,24.79,.,1.35,12.73673257,,,
L15-306,2021,5,RHEBERT,0,1,11058.44,284.94,38.81,.,2.75,12.73691336,,,
CP01-1372,2021,5,LANDRY,0,1,7448.38,312.03,23.87,.,2.11,12.73704955,,,
L01-299,2020,3,AFH,2,2,11835.56,284.65,41.58,.,1.49,12.73747999,,,
L01-299,2020,5,ALLAINS,3,2,9981.65,310.59,32.14,.,1.74,12.73749569,,,
HOCP04-838,2021,5,HARPER,0,3,7551.34,293.46,25.73,.,2.17,12.73777539,,,
HOCP09-804,2021,5,RHEBERT,2,2,5695.63,250.33,22.75,.,1.17,12.73829021,,,
HOCP09-804,2020,5,MARY,3,1,6753.68,263.39,25.64,.,1.35,12.73843058,,,
HOCP04-838,2021,5,MARY,3,2,5413.21,250.88,21.58,.,1.03,12.73852235,,,
HOCP17-547,2021,3,SGL,0,2,9565.55,317.68,30.11,.,1.58,12.73897059,,,
HOCP14-885,2021,5,LANDRY,1,3,6254.84,321.14,19.48,.,1.63,12.7392,,,
HOCP09-804,2021,5,BRUNSWICK,0,2,8862.05,281.75,31.45,.,1.83,12.73943662,,,
L19-006,2021,4,BLK,0,1,8825.54,260.01,33.94,12.47,1.69,12.73953046,,,
L01-283,2021,5,LANAUX,3,2,4703.85,306.03,15.37,.,1.16,12.73990385,,,
L11-183,2021,5,RHEBERT,2,3,5853.17,245.06,23.89,.,1.66,12.74003543,,,
HOCP96-540,2021,3,WES,1,1,8349.1,229,36.46,10.91,1.62,12.74766355,,,
HO13-739,2020,5,LANDRY,0,1,11912.7,301.9,39.46,.,3.04,12.81728395,,,
HOCP18-824,2020,3,NEW,0,2,6991.12,264.73,26.41,10.88,1.94,12.81779661,,,
HO12-615,2021,3,MEL,1,1,6802.36,284.69,23.89,13.54,1.17,12.81846635,,,
HOCP96-540,2020,5,BRUNSWICK,0,3,10037.98,262.27,38.27,.,2.86,12.81848659,,,
HO12-615,2020,5,ALMA,1,3,6449.86,200.04,32.24,.,1.61,12.81850192,,,
HOCP96-540,2021,3,SGL,1,1,8160.57,306.05,26.67,.,1.61,12.81888545,,,
HOCP04-838,2020,5,BRUNSWICK,2,3,3279.96,166.92,19.65,.,1.24,12.81910158,,,
HOCP19-956,2021,3,SGL,1,1,10368.38,288.52,35.94,.,1.65,12.81930547,,,
HOCP17-701,2021,5,STJOHN,0,2,9761.48,311.81,31.31,.,1.81,12.81949592,,,
HO12-615,2021,5,LANDRY,0,1,10570.83,284.27,37.19,.,2.03,12.81990189,,,
HO17-738,2021,3,MEL,2,1,6061.99,280.17,21.64,13.36,1.31,12.82005441,,,
HO12-615,2020,5,GLENWOOD,4,2,6760.41,229.14,29.5,.,1.46,12.82011421,,,
L11-183,2020,5,LANDRY,2,1,6894.34,262.2,26.29,.,1.65,12.82012072,,,
HO05-961,2021,5,LANAUX,0,1,8031.98,323.23,24.85,.,1.56,12.82012072,,,
